# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -220 ps, Average over 1400 waveforms. Date: 2025-8-25
# Time [ps] 	 THz Signal [a.u.]
-212.41475248	0.00010191
-212.38139607	-0.00029951
-212.34803966	-0.00049117
-212.31468325	-0.00037084
-212.28132684	-0.00067772
-212.24797043	-0.00116874
-212.21461402	-0.00104916
-212.18125761	-0.00128655
-212.14790120	-0.00134159
-212.11454479	-0.00159308
-212.08118838	-0.00145836
-212.04783197	-0.00141486
-212.01447556	-0.00154810
-211.98111915	-0.00175084
-211.94776274	-0.00140702
-211.91440633	-0.00139165
-211.88104992	-0.00115095
-211.84769351	-0.00112376
-211.81433710	-0.00120641
-211.78098069	-0.00103319
-211.74762428	-0.00104554
-211.71426788	-0.00081184
-211.68091147	-0.00085088
-211.64755506	-0.00080438
-211.61419865	-0.00068814
-211.58084224	-0.00061557
-211.54748583	-0.00041983
-211.51412942	-0.00046708
-211.48077301	0.00008717
-211.44741660	0.00000376
-211.41406019	0.00011895
-211.38070378	0.00023194
-211.34734737	0.00000265
-211.31399096	0.00008057
-211.28063455	0.00036406
-211.24727814	0.00034621
-211.21392173	0.00045566
-211.18056532	0.00060622
-211.14720891	0.00050269
-211.11385250	0.00038974
-211.08049609	0.00020050
-211.04713968	0.00054521
-211.01378328	0.00025072
-210.98042687	0.00047187
-210.94707046	0.00051293
-210.91371405	0.00060303
-210.88035764	0.00072519
-210.84700123	0.00063974
-210.81364482	0.00070362
-210.78028841	0.00053010
-210.74693200	0.00047533
-210.71357559	0.00061685
-210.68021918	0.00079799
-210.64686277	0.00061363
-210.61350636	0.00060948
-210.58014995	0.00083257
-210.54679354	0.00051742
-210.51343713	0.00046625
-210.48008072	0.00049643
-210.44672431	0.00054069
-210.41336790	0.00040662
-210.38001149	0.00034266
-210.34665508	0.00047811
-210.31329868	0.00026612
-210.27994227	0.00060577
-210.24658586	0.00013678
-210.21322945	0.00024537
-210.17987304	0.00064412
-210.14651663	0.00024812
-210.11316022	0.00023585
-210.07980381	0.00006990
-210.04644740	0.00017370
-210.01309099	0.00017165
-209.97973458	-0.00001671
-209.94637817	-0.00015267
-209.91302176	0.00010075
-209.87966535	-0.00003135
-209.84630894	-0.00001784
-209.81295253	-0.00002322
-209.77959612	-0.00028184
-209.74623971	-0.00023716
-209.71288330	-0.00036204
-209.67952689	-0.00020488
-209.64617049	-0.00028127
-209.61281408	-0.00062231
-209.57945767	-0.00034203
-209.54610126	-0.00077300
-209.51274485	-0.00047633
-209.47938844	-0.00047986
-209.44603203	-0.00083494
-209.41267562	-0.00070210
-209.37931921	-0.00066417
-209.34596280	-0.00097895
-209.31260639	-0.00093176
-209.27924998	-0.00077358
-209.24589357	-0.00094496
-209.21253716	-0.00078435
-209.17918075	-0.00133071
-209.14582434	-0.00107414
-209.11246793	-0.00121379
-209.07911152	-0.00130391
-209.04575511	-0.00116603
-209.01239870	-0.00141821
-208.97904229	-0.00175872
-208.94568589	-0.00124094
