# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -220 ps, Average over 1400 waveforms. Date: 2025-8-25
# Time [ps] 	 THz Signal [a.u.]
-204.47592701	0.00571914
-204.44257060	0.00959627
-204.40921419	0.01543416
-204.37585778	0.02091978
-204.34250137	0.02518116
-204.30914496	0.02727735
-204.27578855	0.02637809
-204.24243214	0.02396015
-204.20907573	0.02104674
-204.17571932	0.01799752
-204.14236291	0.01514953
-204.10900650	0.01303219
-204.07565010	0.01008890
-204.04229369	0.00665977
-204.00893728	0.00232077
-203.97558087	-0.00174311
-203.94222446	-0.00471448
-203.90886805	-0.00689169
-203.87551164	-0.00741231
-203.84215523	-0.00746298
-203.80879882	-0.00665042
-203.77544241	-0.00594842
-203.74208600	-0.00566170
-203.70872959	-0.00577573
-203.67537318	-0.00653806
-203.64201677	-0.00797845
-203.60866036	-0.00998640
-203.57530395	-0.01246573
-203.54194754	-0.01584852
-203.50859113	-0.01884500
-203.47523472	-0.02051871
-203.44187831	-0.01991488
-203.40852190	-0.01697464
-203.37516550	-0.01267461
-203.34180909	-0.00737962
-203.30845268	-0.00358507
-203.27509627	-0.00141722
-203.24173986	-0.00168724
-203.20838345	-0.00340170
-203.17502704	-0.00497924
-203.14167063	-0.00536160
-203.10831422	-0.00564826
-203.07495781	-0.00517287
-203.04160140	-0.00568710
-203.00824499	-0.00739102
-202.97488858	-0.01022676
-202.94153217	-0.01267478
-202.90817576	-0.01384466
-202.87481935	-0.01326569
-202.84146294	-0.01096015
-202.80810653	-0.00744085
-202.77475012	-0.00409616
-202.74139371	-0.00139828
-202.70803730	0.00094443
-202.67468090	0.00273448
-202.64132449	0.00572791
-202.60796808	0.00954840
-202.57461167	0.01444750
-202.54125526	0.01927984
-202.50789885	0.02317271
-202.47454244	0.02449226
-202.44118603	0.02307290
-202.40782962	0.01805058
-202.37447321	0.01160027
-202.34111680	0.00484973
-202.30776039	-0.00166531
-202.27440398	-0.00740513
-202.24104757	-0.01203499
-202.20769116	-0.01535847
-202.17433475	-0.01741909
-202.14097834	-0.01835299
-202.10762193	-0.01829217
-202.07426552	-0.01727952
-202.04090911	-0.01565595
-202.00755271	-0.01338162
-201.97419630	-0.01137433
-201.94083989	-0.00918852
-201.90748348	-0.00820948
-201.87412707	-0.00744826
-201.84077066	-0.00634987
-201.80741425	-0.00597974
-201.77405784	-0.00539011
-201.74070143	-0.00601506
-201.70734502	-0.00724308
-201.67398861	-0.00978865
-201.64063220	-0.01329395
-201.60727579	-0.01577003
-201.57391938	-0.01644975
-201.54056297	-0.01416646
-201.50720656	-0.00914341
-201.47385015	-0.00200802
-201.44049374	0.00621636
-201.40713733	0.01390315
-201.37378092	0.02031181
-201.34042451	0.02480830
-201.30706811	0.02790888
-201.27371170	0.02958760
-201.24035529	0.03081268
-201.20699888	0.03058639
-201.17364247	0.02939061
-201.14028606	0.02685377
-201.10692965	0.02253059
-201.07357324	0.01716189
-201.04021683	0.01209190
-201.00686042	0.00778996
-200.97350401	0.00418062
-200.94014760	0.00133900
-200.90679119	-0.00007895
-200.87343478	-0.00064864
-200.84007837	0.00039489
-200.80672196	0.00345376
-200.77336555	0.00731263
-200.74000914	0.01192370
-200.70665273	0.01571229
-200.67329632	0.01877918
-200.63993991	0.02002302
-200.60658351	0.01958496
-200.57322710	0.01697431
-200.53987069	0.01324878
-200.50651428	0.00971707
-200.47315787	0.00682452
-200.43980146	0.00459187
-200.40644505	0.00256018
-200.37308864	0.00110110
-200.33973223	-0.00149796
-200.30637582	-0.00399899
-200.27301941	-0.00648311
-200.23966300	-0.00835104
-200.20630659	-0.00885666
-200.17295018	-0.00919005
-200.13959377	-0.00885989
-200.10623736	-0.00857404
-200.07288095	-0.00774483
-200.03952454	-0.00713299
-200.00616813	-0.00684060
-199.97281172	-0.00652201
-199.93945531	-0.00653774
-199.90609891	-0.00677230
-199.87274250	-0.00747019
-199.83938609	-0.00816002
-199.80602968	-0.00819506
-199.77267327	-0.00810602
-199.73931686	-0.00686440
-199.70596045	-0.00594051
-199.67260404	-0.00441867
-199.63924763	-0.00199130
-199.60589122	-0.00037527
-199.57253481	0.00185338
-199.53917840	0.00300809
-199.50582199	0.00373081
-199.47246558	0.00241010
-199.43910917	0.00030923
-199.40575276	-0.00247918
-199.37239635	-0.00470959
-199.33903994	-0.00665541
-199.30568353	-0.00708584
-199.27232712	-0.00637940
-199.23897071	-0.00495441
-199.20561431	-0.00267121
-199.17225790	-0.00013115
-199.13890149	0.00263492
-199.10554508	0.00512196
-199.07218867	0.00724884
-199.03883226	0.00916817
-199.00547585	0.01042916
-198.97211944	0.01109942
-198.93876303	0.01152559
-198.90540662	0.01150158
-198.87205021	0.01127983
-198.83869380	0.01080790
-198.80533739	0.00978756
-198.77198098	0.00871033
-198.73862457	0.00720268
-198.70526816	0.00567863
-198.67191175	0.00475142
-198.63855534	0.00415655
-198.60519893	0.00391841
-198.57184252	0.00323409
-198.53848611	0.00313280
-198.50512971	0.00226510
-198.47177330	0.00104410
-198.43841689	-0.00035305
-198.40506048	-0.00127241
-198.37170407	-0.00187671
-198.33834766	-0.00237353
-198.30499125	-0.00250737
-198.27163484	-0.00356012
-198.23827843	-0.00508636
-198.20492202	-0.00784260
-198.17156561	-0.01139142
-198.13820920	-0.01474283
-198.10485279	-0.01715506
-198.07149638	-0.01806432
-198.03813997	-0.01764548
-198.00478356	-0.01652877
-197.97142715	-0.01395875
-197.93807074	-0.01100802
-197.90471433	-0.00721531
-197.87135792	-0.00315917
-197.83800152	0.00168554
-197.80464511	0.00610717
-197.77128870	0.01056244
-197.73793229	0.01399139
-197.70457588	0.01701893
-197.67121947	0.01913466
-197.63786306	0.02056318
-197.60450665	0.02065237
-197.57115024	0.01929313
-197.53779383	0.01628439
-197.50443742	0.01188308
-197.47108101	0.00622254
-197.43772460	-0.00013298
-197.40436819	-0.00669111
-197.37101178	-0.01282773
-197.33765537	-0.01709087
-197.30429896	-0.01954938
